CORE_PRODUCT_ID,AVAILABILITY_PK,AIELIGIBILITY_SET,S3_PATH,COPYRIGHT_HOLDER_DISPLAY_NAME
88511,88511-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1988/09/marketing-in-an-age-of-diversity.xml,Harvard Business Review Digital Article
90306,90306-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1990/05/from-national-champion-to-global-competitor-an-interview-with-thomsons-alain-gomez.xml,Harvard Business Review Digital Article
91611,91611-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1991/11/a-case-of-aids.xml,Harvard Business Review Digital Article
92207,92207-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1992/03/women-as-a-business-imperative.xml,Harvard Business Review Digital Article
94108,94108-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1994/01/the-expectant-executive-and-the-endangered-promotion.xml,Harvard Business Review Digital Article
97509,97509-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1997/09/a-debate-on-race-in-the-us-workplace.xml,Harvard Business Review Digital Article
99102,99102-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1999/01/a-report-card-on-diversity-lessons-for-business-from-higher-education.xml,Harvard Business Review Digital Article
99602,99602-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1999/11/how-free-are-free-agents.xml,Harvard Business Review Digital Article
F0209B,F0209B-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/2002/09/the-emancipated-organization.xml,Harvard Business Review Digital Article
F99502,F99502-XML-ENG,Limited Eligibility,s3://hbrg-prod/website/article-content/1999/09/under-the-big-top.xml,Harvard Business Review Digital Article
