CORE_PRODUCT_ID,AVAILABILITY_PK,AIELIGIBILITY_SET,S3_PATH,COPYRIGHT_HOLDER_DISPLAY_NAME
H00KEK,H00KEK-XML-ENG,Limited Eligibility,website/article-content/2013/12/hiring-and-big-data-who-wins,Harvard Business Review Digital Article
H02DJK,H02DJK-XML-ENG,Limited Eligibility,website/article-content/2015/09/how-meetings-differ-from-stockholm-to-new-delhi,Harvard Business Review Digital Article
H04KMO,H04KMO-XML-ENG,Limited Eligibility,website/article-content/2018/10/lessons-from-mayo-clinics-redesign-of-stroke-care,Harvard Business Review Digital Article
H085SQ,H085SQ-XML-ENG,Limited Eligibility,website/article-content/2024/04/5-ways-executives-can-manage-conflict-with-the-board,Harvard Business Review Digital Article
H085WT,H085WT-XML-ENG,Limited Eligibility,website/article-content/2024/04/what-space-exploration-and-health-care-can-teach-you-about-navigating-uncertainty,Harvard Business Review Digital Article
H0860K,H0860K-XML-ENG,Limited Eligibility,website/article-content/2024/04/what-to-do-when-your-team-blames-you,Harvard Business Review Digital Article
H09668,H09668-XML-ENG,Limited Eligibility,website/article-content/2026/07/when-developing-an-ai-strategy-beware-the-urgency-trap,Harvard Business Review Digital Article
H0974L,H0974L-XML-ENG,Limited Eligibility,website/article-content/2026/07/are-your-job-postings-driving-away-creative-talent,Harvard Business Review Digital Article
H097GK,H097GK-XML-ENG,Limited Eligibility,website/article-content/2026/06/ai-has-broken-hiring-heres-how-to-fix-it,Harvard Business Review Digital Article
H097T3,H097T3-XML-ENG,Limited Eligibility,website/article-content/2026/07/design-ai-systems-that-actually-strengthen-human-reasoning,Harvard Business Review Digital Article
H098B6,H098B6-XML-ENG,Limited Eligibility,website/article-content/2026/07/u-s-and-japanese-companies-struggle-with-different-parts-of-ai-adoption-and-offer-different-lessons-for-making-it-work,Harvard Business Review Digital Article
H098FN,H098FN-XML-ENG,Limited Eligibility,website/article-content/2026/06/when-evaluating-an-ma-opportunity-consider-the-broader-digital-ecosystem,Harvard Business Review Digital Article
H098HK,H098HK-XML-ENG,Limited Eligibility,website/article-content/2026/07/ai-is-changing-how-customers-choose-your-business,Harvard Business Review Digital Article
H098HU,H098HU-XML-ENG,Limited Eligibility,website/article-content/2026/06/the-4-types-of-hope,Harvard Business Review Digital Article
H098IN,H098IN-XML-ENG,Limited Eligibility,website/article-content/2026/07/make-the-business-case-for-your-sustainability-initiative,Harvard Business Review Digital Article
H098J5,H098J5-XML-ENG,Limited Eligibility,website/article-content/2026/07/performance-management-needs-new-metrics-in-the-ai-era,Harvard Business Review Digital Article
H098JS,H098JS-XML-ENG,Limited Eligibility,website/article-content/2026/07/what-60-years-of-data-reveals-about-how-men-and-women-experience-leadership,Harvard Business Review Digital Article
H098MP,H098MP-XML-ENG,Limited Eligibility,website/article-content/2026/07/why-mentoring-matters-more-in-the-ai-era,Harvard Business Review Digital Article
H098O1,H098O1-XML-ENG,Limited Eligibility,website/article-content/2026/07/research-ai-is-changing-what-employers-want-from-new-hires,Harvard Business Review Digital Article
H098O7,H098O7-XML-ENG,Limited Eligibility,website/article-content/2026/07/ai-adoption-is-testing-modular-firms,Harvard Business Review Digital Article
H098OD,H098OD-XML-ENG,Limited Eligibility,website/article-content/2026/07/you-outsourced-the-ai-but-you-still-own-the-risk,Harvard Business Review Digital Article
H098OW,H098OW-XML-ENG,Limited Eligibility,website/article-content/2026/07/the-invisible-work-draining-your-best-employees,Harvard Business Review Digital Article
H098QA,H098QA-XML-ENG,Limited Eligibility,website/article-content/2026/07/how-to-ensure-your-company-acts-on-your-new-strategy,Harvard Business Review Digital Article
H098QQ,H098QQ-XML-ENG,Limited Eligibility,website/article-content/2026/06/ai-is-squeezing-middle-managers,Harvard Business Review Digital Article
H098S2,H098S2-XML-ENG,Limited Eligibility,website/article-content/2026/07/how-highly-effective-global-teams-collaborate-across-cultures,Harvard Business Review Digital Article
H098SQ,H098SQ-XML-ENG,Limited Eligibility,website/article-content/2026/07/research-how-ai-agents-broaden-the-scope-of-knowledge-work,Harvard Business Review Digital Article
H098TC,H098TC-XML-ENG,Limited Eligibility,website/article-content/2026/07/the-office-amenity-that-actually-improves-teamwork,Harvard Business Review Digital Article
H098TQ,H098TQ-XML-ENG,Limited Eligibility,website/article-content/2026/07/ai-can-measure-how-esg-really-impacts-the-bottom-line,Harvard Business Review Digital Article
H098U9,H098U9-XML-ENG,Limited Eligibility,website/article-content/2026/07/when-companies-in-a-supply-chain-work-on-different-timelines,Harvard Business Review Digital Article
H098UF,H098UF-XML-ENG,Limited Eligibility,website/article-content/2026/06/the-end-of-independent-federal-agencies-will-change-your-business,Harvard Business Review Digital Article
H098VD,H098VD-XML-ENG,Limited Eligibility,website/article-content/2026/07/3-questions-to-pressure-test-your-priorities,Harvard Business Review Digital Article
H098YE,H098YE-XML-ENG,Limited Eligibility,website/article-content/2026/07/great-leaders-know-which-emotions-their-feedback-will-trigger,Harvard Business Review Digital Article
H098ZJ,H098ZJ-XML-ENG,Limited Eligibility,website/article-content/2026/07/every-organization-has-two-realities,Harvard Business Review Digital Article
