CORE_PRODUCT_ID,AVAILABILITY_PK,ALTERNATE_ID_TYPE_1,ALTERNATE_ID_VALUE_1,ALTERNATE_ID_TYPE_2,ALTERNATE_ID_VALUE_2,TITLE,COPYRIGHT_HOLDER,AIELIGIBILITY_SET,PRODUCT_TYPE,COPYRIGHT_HOLDER_DISPLAY_NAME
4009AV,4009AV-VIF-ENG,KAL,1_eq9l3jsw,,,Find Your Ideal Market,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4010AV,4010AV-VIF-ENG,KAL,1_xikfd9yz,,,Budget Stress,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4011AV,4011AV-VIF-ENG,KAL,1_zjysjg2i,,,Budget Impacts,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4012AV,4012AV-VIF-ENG,KAL,1_bx01ybbd,,,Realistic Budgets,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4013AV,4013AV-VIF-ENG,KAL,1_rhp6mlhh,,,The Essence of Entrepreneurship,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4014AV,4014AV-VIF-ENG,KAL,1_pzpgnj3c,,,Test Your Assumptions,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4015AV,4015AV-VIF-ENG,KAL,1_j5nnex5i,,,Making Your Ideas Credible,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4016AV,4016AV-VIF-ENG,KAL,1_d1ijhlh0,,,Emerging Markets,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4017AV,4017AV-VIF-ENG,KAL,1_ctelgzni,,,Crossing the River,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4018AV,4018AV-VIF-ENG,KAL,1_dgv1f16y,,,Planning for Success,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4019AV,4019AV-VIF-ENG,KAL,1_o890dx28,,,Adapt to the Market,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4020AV,4020AV-VIF-ENG,KAL,1_cuymrzv0,,,Seek Challenges,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4021AV,4021AV-VIF-ENG,KAL,1_4ksfpzf3,,,A Great Job Fit,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4022AV,4022AV-VIF-ENG,KAL,1_74qxqddx,,,Career Impasse,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4023AV,4023AV-VIF-ENG,KAL,1_kbwglaze,,,Live the Vision,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4024AV,4024AV-VIF-ENG,KAL,1_hg24xmmk,,,Setting the Stage for Change,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4025AV,4025AV-VIF-ENG,KAL,1_403nqt6w,,,The Challenge of Change,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4026AV,4026AV-VIF-ENG,KAL,1_gg2735hp,,,Fear of Reinvention,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4027AV,4027AV-VIF-ENG,KAL,1_s2h3yqia,,,The Manager As Coach,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4028AV,4028AV-VIF-ENG,KAL,1_dvhdcg4s,,,Overcoming Resistance to Coaching,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4029AV,4029AV-VIF-ENG,KAL,1_o2k136aq,,,Open to Learning,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4030AV,4030AV-VIF-ENG,KAL,1_stgwrinp,,,Averting a Healthcare Crisis,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4032AV,4032AV-VIF-ENG,KAL,1_w3wqq70o,,,Create a Sense of Urgency,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4033AV,4033AV-VIF-ENG,KAL,1_adzeth0c,,,Stay Up to Date,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4034AV,4034AV-VIF-ENG,KAL,1_36b6xgcq,,,A Drop of Water,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4035AV,4035AV-VIF-ENG,KAL,1_9p5ziaah,,,A Wedge of Lime,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4036AV,4036AV-VIF-ENG,KAL,1_fbrnfsj0,,,Word of Mouth,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4037AV,4037AV-VIF-ENG,KAL,1_9f825qi4,,,"Change the Product, Not the Customer",Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4038AV,4038AV-VIF-ENG,KAL,1_azkhyofg,,,The Ritz,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4039AV,4039AV-VIF-ENG,KAL,1_y2jfwfze,,,Faulty Analogies,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4040AV,4040AV-VIF-ENG,KAL,1_5iswnohx,,,Intuition,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4041AV,4041AV-VIF-ENG,KAL,1_wosevm0e,,,Don't Go It Alone,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4042AV,4042AV-VIF-ENG,KAL,1_8g7qnjb5,,,Make Yourself Replaceable,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4043AV,4043AV-VIF-ENG,KAL,1_jnybfhhm,,,Creating a Win Win,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4044AV,4044AV-VIF-ENG,KAL,1_dk0m5hac,,,Freedom to Act,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4045AV,4045AV-VIF-ENG,KAL,1_tnk63vqa,,,Teaching - The Virtuous Loop,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4046AV,4046AV-VIF-ENG,KAL,1_fjv85syu,,,Employee Action Plans,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4047AV,4047AV-VIF-ENG,KAL,1_5yqqulj3,,,Genuinely Listen,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4048AV,4048AV-VIF-ENG,KAL,1_sn2fq05l,,,Focus on Interests,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4049AV,4049AV-VIF-ENG,KAL,1_h0h9tn3z,,,Do a Reality Check,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4050AV,4050AV-VIF-ENG,KAL,1_aaoerlaj,,,Anger Is Tricky,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4051AV,4051AV-VIF-ENG,KAL,1_2uqh1cu9,,,A Question of Integrity,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4052AV,4052AV-VIF-ENG,KAL,1_8lg2lfit,,,Be Candid,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4054AV,4054AV-VIF-ENG,KAL,1_ltdjygro,,,Know When to Let Go,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4058AV,4058AV-VIF-ENG,KAL,1_b2bshshm,,,Ethical Ambiguity,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4059AV,4059AV-VIF-ENG,KAL,1_vmgoqlzp,,,Speak the Truth,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4060AV,4060AV-VIF-ENG,KAL,1_l8njj3qo,,,Should You Lie to Save Your Company,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4061AV,4061AV-VIF-ENG,KAL,1_ki693cpk,,,Delivering Difficult Feedback,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4062AV,4062AV-VIF-ENG,KAL,1_go4czjfy,,,Real-time Feedback,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4063AV,4063AV-VIF-ENG,KAL,1_hkutec0v,,,The Power of Feedback,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4064AV,4064AV-VIF-ENG,KAL,1_qbhxraoo,,,Create Efficiencies,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4065AV,4065AV-VIF-ENG,KAL,1_wlhpgf1e,,,Net Present Value,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4066AV,4066AV-VIF-ENG,KAL,1_0i1siipl,,,When The Numbers Don't Add Up,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4067AV,4067AV-VIF-ENG,KAL,1_ocjps9to,,,Face Your Fear,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4068AV,4068AV-VIF-ENG,KAL,1_pkkzdteb,,,Look Beyond the Numbers,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
