UUID,External ID,Title,Subtitle,Creators,Creation Date,Publisher,Source URL,Collections,Tags,Status,Created At,Updated At
84bcb4ada8244ee9a5ed0fc42e080f2f,F0704D-XML-ENG,"$152,000 for Your Thoughts",,"Gary Carini, Bill Townsend",2007-04-01T04:00:00Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391670:creativity, 110000:magazine article, 1779:creativity",Ready,2026-05-21 15:17:46,2026-05-22 19:43:01
fafb3c77a956428aa54f64fa2a7aaa18,H07TP0-XML-ENG,10 Beliefs That Get in the Way of Organizational Change,,"Frances X. Frei, Anne Morriss",2023-10-24T12:15:46Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391433:collaboration and teams, 391555:organizational culture, 391560:organizational development, 395127:organizational transformation, 391588:project management, 391378:innovation, 391383:leadership and managing people, 109980:digital article, 391564:organizational change, 391749:change management, 391408:business management, 395118:inclusion and belonging, 391558:organizational decision making",Ready,2026-08-03 14:46:58,2026-08-03 15:19:00
cb308b61e7d844888107e1d0641e42bc,H002UX-XML-ENG,10 Business Words to Ban,,David Silverman,2009-02-19T21:07:22Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","1000:communication, 391429:business communication, 1054:business writing, 391430:business writing, 109980:digital article",Ready,2026-05-21 15:40:26,2026-05-22 19:59:09
bde97e6aaf8941f0a4256d97ad84a784,H06NXR-XML-ENG,10 Common Job Interview Questions and How to Answer Them,,Vicky Oliver,2021-11-11T21:00:17Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","366385:listicle, ascend:ascend, new-author:new author, 391661:career planning, tip:tip, 391658:careers, 391665:job interviews, 391666:job search, 391656:managing yourself, 479934:early career, 420917:ascend",Ready,2026-08-03 14:18:50,2026-08-03 14:38:31
613d42c0501e4193b66b260cc3a327fa,H07TO7-XML-ENG,10 Emotions That Are Undervalued in the Workplace,,"Frances X. Frei, Anne Morriss",2023-10-17T12:35:21Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391378:innovation, 391383:leadership and managing people, 391408:business management, 391433:collaboration and teams, 391560:organizational development, 109980:digital article, 391564:organizational change, 395127:organizational transformation, 391588:project management",Ready,2026-08-03 14:46:55,2026-08-03 15:18:58
b394715666e746ef81222ac091f0954d,H06R62-XML-ENG,10 ESG Questions Companies Need to Answer,,Dambisa Moyo,2022-01-03T13:15:00Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391468:corporate social responsibility, 391452:corporate governance, 391472:sustainable business practices, 391453:boards, 574094:esg, 391190:government policy and regulation, 458596:climate change, 391735:strategy, 109980:digital article",Ready,2026-05-22 18:37:18,2026-05-22 18:37:38
a3bd28f271e5426a9006a2cb488b2c3b,H04KK8-XML-ENG,10 Excel Functions Everyone Should Know,,"Adam Lacey, Deborah Ashby",2018-10-08T13:30:04Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","optim:optim, taxo2021:taxo2021, commissioned:commissioned, optimized:optimized, 109980:digital article, 99116:business education, 105886:data, insight-center_scaling-your-teams-data-skills_2018:insight center_scaling your team's data skills_20, new-authors:new authors, 1730:productivity, 391813:data management, 391150:business education, 391691:personal productivity",Ready,2026-05-22 15:13:14,2026-05-22 15:13:37
7de0d6f7192c4f8481ee962aaf599256,H00KYO-XML-ENG,10 Extraordinary People and Their Lessons for Success,,Sarah Green Carmichael,2013-12-30T14:00:57Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","109980:digital article, 1792:career planning, 9162:managing yourself, 391661:career planning, 391656:managing yourself",Ready,2026-05-21 19:37:28,2026-05-25 14:30:26
53d6bb4386b2441c944a9d7a3bdd7c1d,H00SFG-XML-ENG,10 Kinds of Stories to Tell with Data,,Thomas H. Davenport,2014-05-05T16:00:19Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","105886:data, 391385:leadership, 32204:presentations, 391810:analytics and data science, 391432:presentation skills, 1571:leadership, import-modified:import modified, 109980:digital article",Ready,2026-07-31 19:46:47,2026-07-31 20:05:07
7cc6b0939a954da6aa59abdef9336e77,H05Z88-XML-ENG,10 Leadership Lessons from Covid Field Hospitals,,"Richard M.J. Bohmer, Jeanette R. Ives Erickson, Gregg S. Meyer, Bonnie B. Blanchfield, James Mountford, W. Craig Vanderwagen, Giles W.L. Boland",2020-11-16T13:05:17Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","416763:healthcare sector, 391383:leadership and managing people, 109980:digital article, 105882:healthcare, insight-center_health-care-november-2020_health-care-digital-transformation-and-operational-efficien, 30936:leadership & managing people, 391217:covid, new-authors:new authors",Ready,2026-05-22 18:07:17,2026-05-22 18:07:34
fc3085870ced4b498421709c2a375e39,H002LR-XML-ENG,10 Mantras for Emerging Leaders in 2009,,Vineet Nayar,2008-12-29T15:53:34Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391522:international business, 1571:leadership, 391661:career planning, 1514:international business, 1792:career planning, 391385:leadership, 109980:digital article",Ready,2026-05-21 15:38:34,2026-05-22 19:57:28
d036de1a37bd4de7be74f5d3cc6733b1,H03RA4-XML-ENG,10 Myths About Negotiating Your First Salary,,"Linda Babcock, Julia Bear",2017-07-03T12:05:57Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391661:career planning, 109980:digital article, quick-copyedit:_quick copyedit, special-series_career-transitions-2017:special series_career transitions 2017, 391771:negotiation strategies, 391688:negotiating skills, 105788:negotiations, commissioned:commissioned, new-author:new author, 1792:career planning",Ready,2026-05-22 14:47:06,2026-05-25 16:21:06
3a1146aa473b473383d9966fcde0298b,H07TOT-XML-ENG,10 Pitfalls That Destroy Organizational Trust,,"Frances X. Frei, Anne Morriss",2023-10-03T12:25:13Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","391558:organizational decision making, 391564:organizational change, 391749:change management, 391408:business management, 391433:collaboration and teams, 391378:innovation, 109980:digital article, 395118:inclusion and belonging, 391560:organizational development, 391555:organizational culture, 395127:organizational transformation, 391588:project management, 391383:leadership and managing people",Ready,2026-08-03 14:46:57,2026-08-03 15:18:59
9a0e3af3cfbc4ce880a4a0ad2048efdb,H075HT-XML-ENG,10 Principles of Effective Organizations,,Michael O'Malley,2022-08-08T12:25:13Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391560:organizational development, 391564:organizational change, 109980:digital article, 391408:business management",Ready,2026-05-22 18:50:42,2026-05-22 18:50:58
e44ecaeef87542079389813473cb2239,H002J3-XML-ENG,10 Principles of the New Business Intelligence,,Thomas H. Davenport,2008-12-01T15:36:24Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection - no URL template","1183:decision making, 105886:data, 391767:decision making and problem solving, 391810:analytics and data science, 109980:digital article, 1639:knowledge management",Ready,2026-07-31 18:54:06,2026-07-31 19:14:03
ad45bd296a68404288305dcb8ce0515a,H06BYH-XML-ENG,10 Proactive Questions Every Board Member Should Be Asking,,"Andrew White, Tazim Essani, Eric Wilkinson",2021-04-28T12:25:07Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","391453:boards, 109980:digital article, 30164:boards, 105786:managing organizations, 391452:corporate governance, 391408:business management, 1608:corporate governance, new-authors:new authors",Ready,2026-05-22 18:21:30,2026-05-22 18:21:48
59508fbc6a234a9ea4fd25d103cd4fb2,H04BM0-XML-ENG,10 Promising AI Applications in Health Care,,"Brian Kalis, Matt Collier, Richard Fu",2018-05-10T15:00:31Z,Harvard Business Review Digital Article,,"CL-Articles-Base, Aggregated Collection, Aggregated Collection - no URL template","416763:healthcare sector, 109980:digital article, 1585:technology, 391807:technology and analytics, 391735:strategy, 1730:productivity, 105801:operations, 391691:personal productivity, 105882:healthcare, 7697:strategy, 391534:operations and supply chain management, commissioned:commissioned, insight-center_health-cares-new-frontier:insight center_health care's new frontier, new-author:new author",Ready,2026-05-22 15:05:12,2026-05-25 16:38:27
