CORE_PRODUCT_ID,AVAILABILITY_PK,ALTERNATE_ID_TYPE_1,ALTERNATE_ID_VALUE_1,ALTERNATE_ID_TYPE_2,ALTERNATE_ID_VALUE_2,TITLE,COPYRIGHT_HOLDER,AIELIGIBILITY_SET,PRODUCT_TYPE,COPYRIGHT_HOLDER_DISPLAY_NAME
4055AV,4055AV-VIF-ENG,KAL,1_yn9wwe7t,,,Tomorrow's Leaders,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4057AV,4057AV-VIF-ENG,KAL,1_3a5paczz,,,The Mix of Experience,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4338AV,4338AV-VIF-ENG,KAL,1_tlkik2wj,,,Compare Cultures to Understand Your Own,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4401AV,4401AV-VIF-ENG,KAL,1_4cc3uolv,,,"Learn, Unlearn, Relearn",Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4620AV,4620AV-VIF-ENG,KAL,1_qt6pqrcp,,,Value Your Employees as Individuals,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4621AV,4621AV-VIF-ENG,KAL,1_xlh7owb9,,,Invited Versus Welcomed,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4649AV,4649AV-VIF-ENG,KAL,1_19fh8cz2,,,How Diversity Fuels Group Emotional Intelligence,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4676AV,4676AV-VIF-ENG,KAL,1_sqi8j0qd,,,The Tailwinds of Privilege,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
4680AV,4680AV-VIF-ENG,KAL,1_ijtllxuy,,,Introduction to Global Collaboration,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5163AV,5163AV-VIF-ENG,KAL,1_uo1mjden,,,Your Team Diversity Question Answered,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5169AV,5169AV-VIF-ENG,KAL,1_v2t8uxck,,,Establishing Credibility Takes Persistence,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5263AV,5263AV-VIF-ENG,KAL,1_ibxd0csr,,,Stay True to Your Values,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5268AV,5268AV-VIF-ENG,KAL,1_sprnmtqh,,,Invite All Voices into the Conversation,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5271AV,5271AV-VIF-ENG,KAL,1_y2y7478v,,,The Layers of Diversity,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5272AV,5272AV-VIF-ENG,KAL,1_9l4f4h4x,,,"Yes, You Are Biased-Here's What To Do About It",Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5273AV,5273AV-VIF-ENG,KAL,1_nmvup3vm,,,What Allyship Looks Like,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5274AV,5274AV-VIF-ENG,KAL,1_aoabvp5z,,,Stand Up for Everyone on Your Team-Even When It's Hard,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5276AV,5276AV-VIF-ENG,KAL,1_2kh5lnhj,,,How Men Can Stand Up for Women at Work,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5277AV,5277AV-VIF-ENG,KAL,1_jdptbhs6,,,Advocate for Women--Especially Women of Color,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5278AV,5278AV-VIF-ENG,KAL,1_fs4sh82q,,,Turn Microaggressions into Learning Moments,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5279AV,5279AV-VIF-ENG,KAL,1_bntyx1ua,,,Tactics for Creating an Inclusive Workplace,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
5280AV,5280AV-VIF-ENG,KAL,1_lgwc1026,,,Commit to Creating Inclusion Every Day,Harvard Business School Publishing - Corporate Learning,Limited Eligibility,218,Harvard Business Impact
